nama_A,nama_B,long_A,lat_A,long_B,lat_B,jarak_A_B (meter)
Monas,Gambir,106.8272,-6.1754,106.83,-6.1778,2872.1
Monas,Tanah Abang,106.8272,-6.1754,106.8112,-6.1865,4918.0
Monas,Cikini,106.8272,-6.1754,106.8384,-6.197,5464.7
Monas,Senen,106.8272,-6.1754,106.85,-6.1705,4909.9
Gambir,Tanah Abang,106.83,-6.1778,106.8112,-6.1865,5847.8
Gambir,Cikini,106.83,-6.1778,106.8384,-6.197,2785.1
Gambir,Senen,106.83,-6.1778,106.85,-6.1705,4116.7
Tanah Abang,Cikini,106.8112,-6.1865,106.8384,-6.197,5034.8
Tanah Abang,Senen,106.8112,-6.1865,106.85,-6.1705,6366.5
Cikini,Senen,106.8384,-6.197,106.85,-6.1705,5373.3
